name,author,summary,doi,citation,apa_citation,language,release_date,docs,tutorials,license,stars,source,Category,Citation_Count,readme_has_tags
adaptiveGPCA,"Julia Fukuyama [aut, cre]",Adaptive Generalized PCA,10.32614/CRAN.package.adaptiveGPCA,adaptiveGPCA. (2022). Adaptive Generalized PCA. R package version 0.1.3. https://doi.org/10.32614/CRAN.package.adaptiveGPCA,adaptiveGPCA. (2022). Adaptive Generalized PCA. R package version 0.1.3. https://doi.org/10.32614/CRAN.package.adaptiveGPCA,R,2022-12-08,https://cran.r-project.org/web/packages/adaptiveGPCA/index.html,https://cran.r-project.org/web/packages/adaptiveGPCA/vignettes,NA,NA,CRAN,Specialized analysis,1,NA
AmpGram,"Michal Burdukiewicz [cre, aut] (ORCID:
    <https://orcid.org/0000-0001-8926-582X>),
  Katarzyna Sidorczuk [ctb],
  Filip Pietluch [ctb],
  Dominik Rafacz [aut],
  Stefan Roediger [ctb] (ORCID: <https://orcid.org/0000-0002-1441-6512>),
  Jaroslaw Chilimoniuk [ctb] (ORCID:
    <https://orcid.org/0000-0001-5467-018X>)",Prediction of Antimicrobial Peptides,10.32614/CRAN.package.AmpGram,AmpGram. (2020). Prediction of Antimicrobial Peptides. R package version 1.0. https://doi.org/10.32614/CRAN.package.AmpGram,AmpGram. (2020). Prediction of Antimicrobial Peptides. R package version 1.0. https://doi.org/10.32614/CRAN.package.AmpGram,R,2020-05-31,https://cran.r-project.org/web/packages/AmpGram/index.html,https://cran.r-project.org/web/packages/AmpGram/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
ampir,"Legana Fingerhut [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-2482-5336>),
  Ira Cooke [aut] (ORCID: <https://orcid.org/0000-0001-6520-1397>),
  Jinlong Zhang [ctb] (R/read_faa.R),
  Nan Xiao [ctb] (R/calc_pseudo_comp.R)",Predict Antimicrobial Peptides,10.32614/CRAN.package.ampir,ampir. (2021). Predict Antimicrobial Peptides. R package version 1.1.0. https://doi.org/10.32614/CRAN.package.ampir,ampir. (2021). Predict Antimicrobial Peptides. R package version 1.1.0. https://doi.org/10.32614/CRAN.package.ampir,R,2021-06-29,https://cran.r-project.org/web/packages/ampir/index.html,https://cran.r-project.org/web/packages/ampir/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
AmpliconDuo,"Anja Lange [aut, cre],
  Daniel Hoffmann [aut]","Statistical Analysis of Amplicon Data of the Same Sample to
Identify Artefacts",10.32614/CRAN.package.AmpliconDuo,"AmpliconDuo. (2020). Statistical Analysis of Amplicon Data of the Same Sample to
Identify Artefacts. R package version 1.1.1. https://doi.org/10.32614/CRAN.package.AmpliconDuo","AmpliconDuo. (2020). Statistical Analysis of Amplicon Data of the Same Sample to
Identify Artefacts. R package version 1.1.1. https://doi.org/10.32614/CRAN.package.AmpliconDuo",R,2020-05-25,https://cran.r-project.org/web/packages/AmpliconDuo/index.html,https://cran.r-project.org/web/packages/AmpliconDuo/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
AMR,"Matthijs S. Berends [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-7620-1800>),
  Dennis Souverein [aut, ctb] (ORCID:
    <https://orcid.org/0000-0003-0455-0336>),
  Erwin E. A. Hassing [aut, ctb],
  Aislinn Cook [ctb] (ORCID: <https://orcid.org/0000-0002-9189-7815>),
  Andrew P. Norgan [ctb] (ORCID: <https://orcid.org/0000-0002-2955-2066>),
  Anita Williams [ctb] (ORCID: <https://orcid.org/0000-0002-5295-8451>),
  Annick Lenglet [ctb] (ORCID: <https://orcid.org/0000-0003-2013-8405>),
  Anthony Underwood [ctb] (ORCID:
    <https://orcid.org/0000-0002-8547-4277>),
  Anton Mymrikov [ctb],
  Bart C. Meijer [ctb],
  Christian F. Luz [ctb] (ORCID: <https://orcid.org/0000-0001-5809-5995>),
  Dmytro Mykhailenko [ctb],
  Eric H. L. C. M. Hazenberg [ctb],
  Gwen Knight [ctb] (ORCID: <https://orcid.org/0000-0002-7263-9896>),
  Jane Hawkey [ctb] (ORCID: <https://orcid.org/0000-0001-9661-5293>),
  Jason Stull [ctb] (ORCID: <https://orcid.org/0000-0002-9028-8153>),
  Javier Sanchez [ctb] (ORCID: <https://orcid.org/0000-0003-2605-8094>),
  Jonas Salm [ctb],
  Judith M. Fonville [ctb],
  Kathryn Holt [ctb] (ORCID: <https://orcid.org/0000-0003-3949-2471>),
  Larisse Bolton [ctb] (ORCID: <https://orcid.org/0000-0001-7879-2173>),
  Matthew Saab [ctb],
  Natacha Couto [ctb] (ORCID: <https://orcid.org/0000-0002-9152-5464>),
  Peter Dutey-Magni [ctb] (ORCID:
    <https://orcid.org/0000-0002-8942-9836>),
  Rogier P. Schade [ctb],
  Sofia Ny [ctb] (ORCID: <https://orcid.org/0000-0002-2017-1363>),
  Alex W. Friedrich [ths] (ORCID:
    <https://orcid.org/0000-0003-4881-038X>),
  Bhanu N. M. Sinha [ths] (ORCID:
    <https://orcid.org/0000-0003-1634-0010>),
  Casper J. Albers [ths] (ORCID: <https://orcid.org/0000-0002-9213-6743>),
  Corinna Glasner [ths] (ORCID: <https://orcid.org/0000-0003-1241-1328>)",Antimicrobial Resistance Data Analysis,10.32614/CRAN.package.AMR,AMR. (2025). Antimicrobial Resistance Data Analysis. R package version 3.0.0. https://doi.org/10.32614/CRAN.package.AMR,AMR. (2025). Antimicrobial Resistance Data Analysis. R package version 3.0.0. https://doi.org/10.32614/CRAN.package.AMR,R,2025-06-02,https://cran.r-project.org/web/packages/AMR/index.html,https://cran.r-project.org/web/packages/AMR/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
Anaconda,"Pierre-Louis Stenger [cre, aut]","Targeted Differential and Global Enrichment Analysis of
Taxonomic Rank by Shared Asvs",10.32614/CRAN.package.Anaconda,"Anaconda. (2022). Targeted Differential and Global Enrichment Analysis of
Taxonomic Rank by Shared Asvs. R package version 0.1.5. https://doi.org/10.32614/CRAN.package.Anaconda","Anaconda. (2022). Targeted Differential and Global Enrichment Analysis of
Taxonomic Rank by Shared Asvs. R package version 0.1.5. https://doi.org/10.32614/CRAN.package.Anaconda",R,2022-10-14,https://cran.r-project.org/web/packages/Anaconda/index.html,https://cran.r-project.org/web/packages/Anaconda/vignettes,NA,NA,CRAN,Specialized analysis,1,NA
asmbPLS,"Runzhi Zhang [aut, cre],
  Susmita Datta [aut, ths]","Predicting and Classifying Patient Phenotypes with Multi-Omics
Data",10.32614/CRAN.package.asmbPLS,"asmbPLS. (2023). Predicting and Classifying Patient Phenotypes with Multi-Omics
Data. R package version 1.0.0. https://doi.org/10.32614/CRAN.package.asmbPLS","asmbPLS. (2023). Predicting and Classifying Patient Phenotypes with Multi-Omics
Data. R package version 1.0.0. https://doi.org/10.32614/CRAN.package.asmbPLS",R,2023-04-17,https://cran.r-project.org/web/packages/asmbPLS/index.html,https://cran.r-project.org/web/packages/asmbPLS/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
AutoPipe,"Karam Daka [cre, aut],
  Dieter Henrik Heiland [aut]","Automated Transcriptome Classifier Pipeline: Comprehensive
Transcriptome Analysis",10.32614/CRAN.package.AutoPipe,"AutoPipe. (2019). Automated Transcriptome Classifier Pipeline: Comprehensive
Transcriptome Analysis. R package version 0.1.6. https://doi.org/10.32614/CRAN.package.AutoPipe","AutoPipe. (2019). Automated Transcriptome Classifier Pipeline: Comprehensive
Transcriptome Analysis. R package version 0.1.6. https://doi.org/10.32614/CRAN.package.AutoPipe",R,2019-02-27,https://cran.r-project.org/web/packages/AutoPipe/index.html,https://cran.r-project.org/web/packages/AutoPipe/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
BaHZING,"Hailey Hampson [aut],
  Jesse Goodrich [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-6615-0472>),
  Hongxu Wang [aut],
  Tanya Alderete [ctb],
  Shardul Nazirkar [ctb],
  David Conti [aut]","Bayesian Hierarchical Zero-Inflated Negative Binomial Regression
with G-Computation",10.32614/CRAN.package.BaHZING,"BaHZING. (2025). Bayesian Hierarchical Zero-Inflated Negative Binomial Regression
with G-Computation. R package version 1.0.0. https://doi.org/10.32614/CRAN.package.BaHZING","BaHZING. (2025). Bayesian Hierarchical Zero-Inflated Negative Binomial Regression
with G-Computation. R package version 1.0.0. https://doi.org/10.32614/CRAN.package.BaHZING",R,2025-02-17,https://cran.r-project.org/web/packages/BaHZING/index.html,https://cran.r-project.org/web/packages/BaHZING/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
bioinactivation,"Alberto Garre [aut, cre],
  Pablo S. Fernandez [aut],
  Jose A. Egea [aut]",Mathematical Modelling of (Dynamic) Microbial Inactivation,10.32614/CRAN.package.bioinactivation,bioinactivation. (2025). Mathematical Modelling of (Dynamic) Microbial Inactivation. R package version 1.3.0. https://doi.org/10.32614/CRAN.package.bioinactivation,bioinactivation. (2025). Mathematical Modelling of (Dynamic) Microbial Inactivation. R package version 1.3.0. https://doi.org/10.32614/CRAN.package.bioinactivation,R,2025-04-06,https://cran.r-project.org/web/packages/bioinactivation/index.html,https://cran.r-project.org/web/packages/bioinactivation/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
