"","name","summary","doi","language","release_date","docs","tutorials","license","stars","source","Category","Citation_Count","apa_citation","author"
"1","ace2fastq","ACE File to FASTQ Converter","10.32614/CRAN.package.ace2fastq","R",2019-06-20,"https://cran.r-project.org/web/packages/ace2fastq/index.html","https://cran.r-project.org/web/packages/ace2fastq/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"ace2fastq. (2019). ACE File to FASTQ Converter. R package version 0.6.0. https://doi.org/10.32614/CRAN.package.ace2fastq","Reinhard Simon [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-4608-9077>)"
"2","adaptiveGPCA","Adaptive Generalized PCA","10.32614/CRAN.package.adaptiveGPCA","R",2022-12-08,"https://cran.r-project.org/web/packages/adaptiveGPCA/index.html","https://cran.r-project.org/web/packages/adaptiveGPCA/vignettes","AGPL-3",NA,"CRAN","Specialized analysis",1,"adaptiveGPCA. (2022). Adaptive Generalized PCA. R package version 0.1.3. https://doi.org/10.32614/CRAN.package.adaptiveGPCA","Julia Fukuyama [aut, cre]"
"3","AmpGram","Prediction of Antimicrobial Peptides","10.32614/CRAN.package.AmpGram","R",2020-05-31,"https://cran.r-project.org/web/packages/AmpGram/index.html","https://cran.r-project.org/web/packages/AmpGram/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"AmpGram. (2020). Prediction of Antimicrobial Peptides. R package version 1.0. https://doi.org/10.32614/CRAN.package.AmpGram","Michal Burdukiewicz [cre, aut] (ORCID:
    <https://orcid.org/0000-0001-8926-582X>),
  Katarzyna Sidorczuk [ctb],
  Filip Pietluch [ctb],
  Dominik Rafacz [aut],
  Stefan Roediger [ctb] (ORCID: <https://orcid.org/0000-0002-1441-6512>),
  Jaroslaw Chilimoniuk [ctb] (ORCID:
    <https://orcid.org/0000-0001-5467-018X>)"
"4","ampir","Predict Antimicrobial Peptides","10.32614/CRAN.package.ampir","R",2021-06-29,"https://cran.r-project.org/web/packages/ampir/index.html","https://cran.r-project.org/web/packages/ampir/vignettes","GPL-2",NA,"CRAN","Specialized analysis",0,"ampir. (2021). Predict Antimicrobial Peptides. R package version 1.1.0. https://doi.org/10.32614/CRAN.package.ampir","Legana Fingerhut [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-2482-5336>),
  Ira Cooke [aut] (ORCID: <https://orcid.org/0000-0001-6520-1397>),
  Jinlong Zhang [ctb] (R/read_faa.R),
  Nan Xiao [ctb] (R/calc_pseudo_comp.R)"
"5","AmpliconDuo","Statistical Analysis of Amplicon Data of the Same Sample to
Identify Artefacts","10.32614/CRAN.package.AmpliconDuo","R",2020-05-25,"https://cran.r-project.org/web/packages/AmpliconDuo/index.html","https://cran.r-project.org/web/packages/AmpliconDuo/vignettes","GPL (>= 3)",NA,"CRAN","Specialized analysis",0,"AmpliconDuo. (2020). Statistical Analysis of Amplicon Data of the Same Sample to
Identify Artefacts. R package version 1.1.1. https://doi.org/10.32614/CRAN.package.AmpliconDuo","Anja Lange [aut, cre],
  Daniel Hoffmann [aut]"
"6","AMR","Antimicrobial Resistance Data Analysis","10.32614/CRAN.package.AMR","R",2025-06-02,"https://cran.r-project.org/web/packages/AMR/index.html","https://cran.r-project.org/web/packages/AMR/vignettes","GPL-2 | file LICENSE",NA,"CRAN","Specialized analysis",0,"AMR. (2025). Antimicrobial Resistance Data Analysis. R package version 3.0.0. https://doi.org/10.32614/CRAN.package.AMR","Matthijs S. Berends [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-7620-1800>),
  Dennis Souverein [aut, ctb] (ORCID:
    <https://orcid.org/0000-0003-0455-0336>),
  Erwin E. A. Hassing [aut, ctb],
  Aislinn Cook [ctb] (ORCID: <https://orcid.org/0000-0002-9189-7815>),
  Andrew P. Norgan [ctb] (ORCID: <https://orcid.org/0000-0002-2955-2066>),
  Anita Williams [ctb] (ORCID: <https://orcid.org/0000-0002-5295-8451>),
  Annick Lenglet [ctb] (ORCID: <https://orcid.org/0000-0003-2013-8405>),
  Anthony Underwood [ctb] (ORCID:
    <https://orcid.org/0000-0002-8547-4277>),
  Anton Mymrikov [ctb],
  Bart C. Meijer [ctb],
  Christian F. Luz [ctb] (ORCID: <https://orcid.org/0000-0001-5809-5995>),
  Dmytro Mykhailenko [ctb],
  Eric H. L. C. M. Hazenberg [ctb],
  Gwen Knight [ctb] (ORCID: <https://orcid.org/0000-0002-7263-9896>),
  Jane Hawkey [ctb] (ORCID: <https://orcid.org/0000-0001-9661-5293>),
  Jason Stull [ctb] (ORCID: <https://orcid.org/0000-0002-9028-8153>),
  Javier Sanchez [ctb] (ORCID: <https://orcid.org/0000-0003-2605-8094>),
  Jonas Salm [ctb],
  Judith M. Fonville [ctb],
  Kathryn Holt [ctb] (ORCID: <https://orcid.org/0000-0003-3949-2471>),
  Larisse Bolton [ctb] (ORCID: <https://orcid.org/0000-0001-7879-2173>),
  Matthew Saab [ctb],
  Natacha Couto [ctb] (ORCID: <https://orcid.org/0000-0002-9152-5464>),
  Peter Dutey-Magni [ctb] (ORCID:
    <https://orcid.org/0000-0002-8942-9836>),
  Rogier P. Schade [ctb],
  Sofia Ny [ctb] (ORCID: <https://orcid.org/0000-0002-2017-1363>),
  Alex W. Friedrich [ths] (ORCID:
    <https://orcid.org/0000-0003-4881-038X>),
  Bhanu N. M. Sinha [ths] (ORCID:
    <https://orcid.org/0000-0003-1634-0010>),
  Casper J. Albers [ths] (ORCID: <https://orcid.org/0000-0002-9213-6743>),
  Corinna Glasner [ths] (ORCID: <https://orcid.org/0000-0003-1241-1328>)"
"7","Anaconda","Targeted Differential and Global Enrichment Analysis of
Taxonomic Rank by Shared Asvs","10.32614/CRAN.package.Anaconda","R",2022-10-14,"https://cran.r-project.org/web/packages/Anaconda/index.html","https://cran.r-project.org/web/packages/Anaconda/vignettes","GPL (>= 2)",NA,"CRAN","Specialized analysis",1,"Anaconda. (2022). Targeted Differential and Global Enrichment Analysis of
Taxonomic Rank by Shared Asvs. R package version 0.1.5. https://doi.org/10.32614/CRAN.package.Anaconda","Pierre-Louis Stenger [cre, aut]"
"8","aPCoA","Covariate Adjusted PCoA Plot","10.32614/CRAN.package.aPCoA","R",2021-12-13,"https://cran.r-project.org/web/packages/aPCoA/index.html","https://cran.r-project.org/web/packages/aPCoA/vignettes","GPL (>= 2)",NA,"CRAN","Specialized analysis",0,"aPCoA. (2021). Covariate Adjusted PCoA Plot. R package version 1.3. https://doi.org/10.32614/CRAN.package.aPCoA","Yushu Shi"
"9","asmbPLS","Predicting and Classifying Patient Phenotypes with Multi-Omics
Data","10.32614/CRAN.package.asmbPLS","R",2023-04-17,"https://cran.r-project.org/web/packages/asmbPLS/index.html","https://cran.r-project.org/web/packages/asmbPLS/vignettes","GPL (>= 2)",NA,"CRAN","Specialized analysis",0,"asmbPLS. (2023). Predicting and Classifying Patient Phenotypes with Multi-Omics
Data. R package version 1.0.0. https://doi.org/10.32614/CRAN.package.asmbPLS","Runzhi Zhang [aut, cre],
  Susmita Datta [aut, ths]"
"10","ASRgenomics","Complementary Genomic Functions","10.32614/CRAN.package.ASRgenomics","R",2024-01-29,"https://cran.r-project.org/web/packages/ASRgenomics/index.html","https://cran.r-project.org/web/packages/ASRgenomics/vignettes","MIT + file LICENSE",NA,"CRAN","Specialized analysis",21,"ASRgenomics. (2024). Complementary Genomic Functions. R package version 1.1.4. https://doi.org/10.32614/CRAN.package.ASRgenomics","Salvador Gezan [aut, cre],
  Darren Murray [aut],
  Amanda Avelar de Oliveira [aut],
  Giovanni Galli [aut],
  VSN International [cph]"
